INCIDENT_ID,DATE,X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,X_9,X_10,X_11,X_12,X_13,X_14,X_15,MALICIOUS_OFFENSE
CR_136415,21-Jun-09,0,5,5,3,5,3,5,1,6,2,249,2,103,29,34,1
CR_163234,9-Oct-13,0,21,23,4,1,2,7,3,2,1,249,1,2,87,34,1
CR_9501,25-Apr-92,0,38,38,10,3,3,5,3,6,1,0,1,72,0,34,1
CR_146805,26-Mar-10,0,38,38,10,3,7,1,0,5,1,174,1,103,142,34,1
CR_26119,19-Oct-95,0,4,4,6,5,2,7,1,6,1,249,1,112,29,34,1
CR_23885,29-Oct-94,0,46,46,3,5,7,1,0,5,1,74,0,113,142,0,1
CR_146067,24-Jun-10,0,36,34,2,1,1,0,1,2,1,0,1,92,80,34,1
CR_57991,6-Feb-99,1,4,4,6,5,15,10,0,5,1,174,1,109,93,34,1
CR_61821,7-Jul-99,0,33,32,2,1,6,4,0,5,1,174,0,72,93,48,1
CR_163348,30-Jun-13,0,22,22,7,3,7,1,2,6,2,0,2,98,103,34,1
CR_115060,4-Sep-06,1,22,22,7,3,15,10,0,5,1,174,1,72,93,34,1
CR_125510,13-Feb-07,1,39,39,6,5,15,10,1,6,1,249,1,72,80,34,1
CR_31500,17-Jun-95,0,45,45,10,3,3,5,2,5,1,249,1,103,29,34,1
CR_143839,14-Aug-10,0,19,19,1,3,6,4,1,6,1,249,1,103,29,34,1
CR_13905,14-Nov-93,1,22,22,7,3,15,10,2,2,1,303,1,112,142,34,1
CR_96422,17-Feb-03,1,47,48,7,3,15,10,0,5,1,174,0,92,29,0,1
CR_40981,20-Jun-97,0,3,2,3,5,1,0,1,6,1,249,1,103,62,34,1
CR_135371,26-Jul-09,0,4,4,6,5,5,6,0,5,1,174,1,103,29,34,1
CR_193865,19-Sep-18,1,18,18,9,0,13,18,1,6,2,249,2,112,142,34,1
CR_36425,29-Feb-96,0,22,22,7,3,2,7,2,2,1,303,1,72,142,34,1
CR_132260,1-Feb-08,0,35,30,3,5,1,0,0,5,1,249,1,103,29,34,1
CR_111595,25-May-05,0,47,48,7,3,5,6,1,2,1,249,0,24,124,34,1
CR_10212,18-Feb-92,0,45,45,10,3,8,3,4,6,1,174,0,112,29,48,1
CR_136916,10-Apr-09,7,9,10,7,3,9,8,1,5,1,249,1,103,130,34,1
CR_129407,3-Mar-08,0,15,14,3,5,5,6,0,5,1,174,0,92,130,0,1
CR_109921,28-Aug-05,1,36,34,2,1,15,10,0,5,1,174,0,92,29,43,1
CR_124579,11-Dec-07,0,33,32,2,1,7,1,1,6,1,249,1,103,62,34,1
CR_89302,17-Mar-02,0,49,49,6,5,4,2,1,6,1,316,1,103,29,34,1
CR_111975,17-Nov-06,0,2,3,10,3,7,1,1,5,1,174,1,112,93,34,1
CR_40181,9-Mar-96,0,45,45,10,3,3,5,1,6,1,174,0,103,29,43,1
CR_150519,16-Mar-11,7,21,23,4,1,9,8,0,5,1,174,0,112,93,0,1
CR_149320,14-Jan-11,0,4,4,6,5,2,7,0,5,1,174,1,72,93,34,1
CR_110063,12-Mar-05,0,36,34,2,1,1,0,0,5,1,174,0,92,93,43,1
CR_161303,11-Aug-13,0,4,4,6,5,6,4,1,6,1,174,1,116,14,34,1
CR_105501,25-Jan-05,0,4,4,6,5,6,4,2,6,1,174,0,18,138,46,1
CR_156703,9-Aug-12,0,21,23,4,1,2,7,0,5,1,249,1,116,29,34,1
CR_173522,3-Dec-15,0,4,4,6,5,4,2,2,2,1,316,1,72,142,34,1
CR_90274,22-Feb-03,0,4,4,6,5,3,5,2,3,1,249,1,103,103,34,1
CR_180050,30-Sep-16,0,16,15,0,0,1,0,4,6,1,249,1,72,29,34,1
CR_125634,4-Jan-07,0,39,39,6,5,5,6,0,5,1,174,1,103,119,34,1
CR_126123,30-Oct-07,0,44,44,1,3,2,7,1,2,1,0,1,34,107,34,1
CR_140250,30-Jul-09,0,37,37,0,0,3,5,0,5,1,249,1,98,130,34,1
CR_22681,18-Jan-94,0,37,37,0,0,4,2,1,6,1,249,1,103,29,34,1
CR_26604,27-Apr-95,5,8,7,7,3,18,13,2,6,1,316,1,98,29,34,1
CR_140343,18-Aug-09,0,38,38,10,3,6,4,1,6,1,316,1,98,87,34,1
CR_79772,4-May-01,0,36,34,2,1,4,2,0,5,1,174,0,103,93,43,1
CR_115782,20-Apr-06,0,24,24,0,0,7,1,1,1,2,249,2,59,130,34,1
CR_109842,23-Nov-05,0,35,30,3,5,1,0,1,6,12,249,12,103,29,34,1
CR_71017,2-Oct-00,0,40,40,2,1,5,6,1,6,1,316,1,103,80,34,1
CR_30680,25-Jul-95,0,37,37,0,0,2,7,3,2,1,316,1,72,142,34,1
CR_51048,14-Feb-98,0,8,7,7,3,6,4,0,5,1,174,1,72,29,34,1
CR_67471,21-Oct-00,0,17,16,0,0,6,4,2,2,1,303,1,72,142,34,1
CR_198415,18-Jul-18,0,49,49,6,5,2,7,1,6,1,174,0,72,93,23,1
CR_128020,7-May-08,7,4,4,6,5,9,8,0,5,1,174,1,112,119,34,1
CR_13728,26-Oct-93,1,22,22,7,3,15,10,0,5,1,174,1,103,62,34,1
CR_154888,25-Mar-12,0,4,4,6,5,1,0,0,5,1,174,0,18,93,46,1
CR_138025,5-Mar-09,0,24,24,0,0,4,2,1,2,1,316,1,72,119,34,1
CR_110879,17-Nov-05,7,42,42,7,3,9,8,0,5,1,174,0,92,29,0,1
CR_149624,22-Aug-11,0,5,5,3,5,2,7,1,6,1,249,1,103,29,34,1
CR_106684,6-May-05,3,9,10,7,3,18,13,2,2,1,316,1,112,142,34,1
CR_122912,26-May-07,0,24,24,0,0,4,2,1,5,1,316,1,92,115,34,1
CR_141175,8-Oct-09,0,47,48,7,3,7,1,0,5,1,174,0,54,130,0,1
CR_156314,28-May-12,0,18,18,9,0,3,5,0,5,1,174,1,103,29,34,1
CR_130943,11-May-08,0,25,25,9,0,6,4,1,5,1,316,1,72,80,34,1
CR_74536,17-Mar-01,0,4,4,6,5,1,0,0,5,1,249,1,98,93,34,1
CR_147016,24-Feb-10,0,41,41,4,1,8,3,1,6,1,316,1,72,103,34,1
CR_22782,10-Aug-94,0,37,37,0,0,2,7,1,2,2,249,2,72,142,34,1
CR_61811,4-Feb-99,0,33,32,2,1,6,4,0,5,1,174,0,116,103,0,1
CR_54282,4-Dec-98,1,36,34,2,1,11,17,0,5,1,249,1,92,130,34,1
CR_85140,1-Dec-02,7,21,23,4,1,9,8,0,5,1,174,0,112,93,34,1
CR_121452,1-Mar-07,0,7,8,7,3,2,7,1,2,1,316,1,2,87,34,1
CR_37965,26-Mar-96,0,33,32,2,1,7,1,1,6,1,316,1,112,29,34,1
CR_195163,8-Jul-18,1,25,25,9,0,16,12,1,1,1,249,1,109,87,34,1
CR_55349,5-Oct-98,0,39,39,6,5,6,4,2,6,2,316,2,12,62,34,1
CR_121685,18-Feb-07,1,9,10,7,3,15,10,2,6,1,174,1,92,107,34,1
CR_141805,24-Dec-10,0,3,2,3,5,1,0,1,6,1,316,1,103,142,34,1
CR_17670,6-Dec-93,0,45,45,10,3,3,5,0,5,1,249,1,103,130,34,1
CR_160737,29-Oct-12,0,49,49,6,5,2,7,0,5,1,328,1,103,0,34,1
CR_185799,1-Aug-17,1,4,4,6,5,16,12,2,6,1,316,1,87,80,34,1
CR_125521,13-Jan-07,1,39,39,6,5,11,17,0,5,1,174,0,92,93,0,1
CR_153038,20-Dec-11,0,37,37,0,0,9,8,2,6,2,316,2,54,107,34,1
CR_155305,14-May-12,0,4,4,6,5,2,7,1,6,1,0,1,72,107,34,1
CR_158306,27-Sep-12,0,33,32,2,1,6,4,0,5,1,174,0,103,93,43,1
CR_36604,13-Jun-96,0,24,24,0,0,7,1,1,0,1,0,1,54,142,34,1
CR_32660,11-Dec-96,0,4,4,6,5,6,4,1,6,1,316,1,72,80,34,1
CR_156654,23-Nov-12,0,21,23,4,1,6,4,1,6,1,249,1,72,29,34,1
CR_33454,6-Oct-96,0,4,4,6,5,4,2,0,5,1,174,0,112,93,48,1
CR_47976,3-Aug-97,0,43,43,9,0,4,2,0,5,4,60,2,109,124,9,0
CR_94689,29-Jun-03,0,36,34,2,1,5,6,1,6,1,249,1,92,29,34,1
CR_94650,5-Jul-03,0,35,30,3,5,1,0,1,6,3,0,3,92,80,34,1
CR_98604,9-Oct-04,0,4,4,6,5,5,6,1,6,1,0,1,103,29,34,1
CR_172461,7-Jan-15,0,3,2,3,5,1,0,0,5,1,174,0,18,133,46,1
CR_137008,2-Mar-09,0,16,15,0,0,8,3,1,6,1,0,1,103,29,34,1
CR_128037,25-Jul-08,0,4,4,6,5,4,2,0,5,1,174,1,72,119,34,1
CR_198398,20-Aug-18,0,49,49,6,5,2,7,1,6,3,249,3,48,119,34,1
CR_122485,10-Sep-07,0,21,23,4,1,2,7,0,5,1,174,1,72,93,34,1
CR_616,1-May-91,0,21,23,4,1,4,2,2,6,2,316,2,92,80,34,1
CR_117108,7-Apr-06,0,35,30,3,5,1,0,1,2,1,316,1,84,142,34,1
CR_77292,9-Jun-01,0,23,21,4,1,5,6,1,6,1,249,1,113,29,34,1
CR_166186,29-Dec-13,0,45,45,10,3,2,7,1,6,1,0,1,103,107,34,1
CR_60652,31-May-99,1,24,24,0,0,11,17,2,6,1,249,1,103,93,34,1
CR_80683,3-Dec-01,0,42,42,7,3,7,1,0,5,1,74,0,34,115,0,1
CR_47142,29-May-97,1,36,34,2,1,15,10,1,5,1,249,1,92,93,34,1
CR_76914,11-Mar-01,0,21,23,4,1,2,7,1,5,1,249,1,103,29,34,1
CR_164716,12-Jul-13,0,35,30,3,5,4,2,2,2,1,0,1,24,80,34,1
CR_190662,5-Jul-17,0,45,45,10,3,8,3,1,6,4,0,4,72,79,34,1
CR_11906,2-Sep-93,0,6,6,4,1,4,2,0,5,1,249,1,103,130,34,1
CR_163667,27-Jan-13,0,24,24,0,0,5,6,2,5,1,249,1,103,93,34,1
CR_33133,22-Feb-96,0,4,4,6,5,1,0,1,6,1,316,1,72,80,34,1
CR_120041,8-Mar-07,0,4,4,6,5,4,2,0,5,1,174,0,116,119,0,1
CR_101289,8-Jun-04,0,28,28,3,5,5,6,1,6,1,316,1,112,77,34,1
CR_83167,15-May-02,7,4,4,6,5,9,8,0,5,1,249,1,112,93,34,1
CR_14181,18-Aug-93,0,24,24,0,0,5,6,1,6,1,249,1,72,29,34,1
CR_133994,14-Jul-08,0,44,44,1,3,7,1,1,2,1,249,1,109,29,34,1
CR_36450,1-Sep-96,0,23,21,4,1,6,4,1,6,2,263,2,72,29,34,0
CR_73320,6-Jan-01,0,4,4,6,5,1,0,1,6,1,249,1,103,29,34,1
CR_64657,1-Feb-00,0,3,2,3,5,3,5,1,5,1,249,1,92,62,34,1
CR_34024,25-Nov-96,0,4,4,6,5,2,7,1,1,1,303,1,72,62,34,1
CR_189499,10-Feb-17,0,36,34,2,1,1,0,1,5,1,174,,103,93,43,1
CR_56345,9-Aug-98,0,49,49,6,5,6,4,1,6,1,249,1,103,29,34,1
CR_152601,16-Jun-11,0,36,34,2,1,1,0,0,5,1,249,1,103,93,34,1
CR_167182,3-Feb-14,0,4,4,6,5,5,6,0,5,1,249,1,98,29,34,1
CR_185663,12-Jan-17,1,4,4,6,5,15,10,0,5,1,249,1,103,29,34,1
CR_102000,9-Dec-04,0,33,32,2,1,8,3,3,5,3,249,3,92,87,34,1
CR_158872,10-Jan-12,0,36,34,2,1,1,0,0,5,2,174,0,103,93,43,1
CR_481,12-Apr-91,0,16,15,0,0,1,0,1,5,1,316,1,112,29,34,1
CR_46902,2-Apr-97,0,36,34,2,1,1,0,1,2,1,0,1,92,142,34,1
CR_50075,13-May-98,0,4,4,6,5,3,5,1,6,1,316,1,72,29,34,1
CR_24132,7-Jan-94,3,49,49,6,5,9,8,1,6,1,249,1,2,29,34,1
CR_173451,26-Apr-15,1,4,4,6,5,16,12,0,5,1,174,0,103,93,43,1
CR_46043,8-Apr-97,0,33,32,2,1,5,6,0,5,1,174,0,18,138,46,1
CR_76699,12-Oct-01,0,21,23,4,1,5,6,1,6,1,316,1,2,29,34,1
CR_94028,29-Dec-03,0,33,32,2,1,6,4,0,5,1,174,0,18,93,46,1
CR_164179,15-Oct-13,0,31,36,9,0,6,4,0,5,1,162,0,113,142,0,1
CR_128762,17-Mar-08,0,5,5,3,5,4,2,0,5,1,174,1,103,93,34,1
CR_17159,3-Apr-93,0,40,40,2,1,1,0,1,5,1,174,1,92,93,34,1
CR_198161,20-Jan-18,0,49,49,6,5,5,6,1,1,1,0,1,103,29,34,1
CR_77190,9-Aug-01,1,22,22,7,3,15,10,0,5,1,174,1,103,29,34,1
CR_16390,26-Feb-93,7,36,34,2,1,9,8,1,6,1,249,1,92,80,34,1
CR_19758,1-May-94,0,15,14,3,5,8,3,2,6,2,249,2,103,29,34,1
CR_91159,15-May-03,0,4,4,6,5,2,7,1,2,1,249,1,72,142,34,1
CR_50742,19-Jul-98,0,4,4,6,5,4,2,1,6,1,174,1,103,93,34,1
CR_98434,12-Sep-04,0,4,4,6,5,2,7,1,6,1,316,1,116,62,34,1
CR_137521,29-Jan-09,0,21,23,4,1,6,4,1,6,1,174,0,18,93,46,1
CR_136155,2-Feb-09,0,4,4,6,5,5,6,1,5,1,249,1,24,142,34,1
CR_147383,14-Nov-10,0,45,45,10,3,5,6,3,6,1,0,1,98,142,34,1
CR_100541,28-Jan-04,0,24,24,0,0,6,4,2,6,2,0,0,103,29,34,1
CR_118306,6-Jul-06,1,42,42,7,3,12,16,0,5,1,127,1,103,115,34,1
CR_64574,3-Mar-00,0,3,2,3,5,1,0,2,6,1,316,1,72,29,34,1
CR_12838,18-Jun-93,0,16,15,0,0,8,3,1,2,1,316,1,72,29,34,1
CR_93341,23-Jul-03,0,24,24,0,0,5,6,1,2,1,249,0,98,142,34,1
CR_197211,11-Mar-18,5,40,40,2,1,16,12,1,6,1,249,1,58,29,34,1
CR_67809,5-Apr-00,0,21,23,4,1,7,1,0,5,1,174,0,112,93,43,1
CR_110981,29-Jun-05,1,44,44,1,3,11,17,1,5,1,174,0,103,29,34,1
CR_158034,10-Oct-12,0,33,32,2,1,7,1,0,5,1,174,0,116,62,0,1
CR_10150,29-Jul-92,0,45,45,10,3,7,1,1,2,1,174,1,72,142,34,1
CR_97610,14-Jan-04,0,4,4,6,5,1,0,1,6,1,316,1,34,130,34,1
CR_92038,29-Nov-03,0,16,15,0,0,5,6,0,5,1,174,0,103,29,43,1
CR_139261,21-Mar-09,0,33,32,2,1,5,6,0,5,1,174,0,92,62,43,1
CR_19288,18-Nov-94,0,6,6,4,1,4,2,0,5,1,249,1,103,62,34,1
CR_117256,13-Jun-06,1,36,34,2,1,15,10,0,5,2,174,0,92,93,0,1
CR_176619,26-Sep-15,0,37,37,0,0,8,3,1,6,2,231,2,98,77,34,1
CR_10136,7-Jun-92,0,45,45,10,3,2,7,1,6,1,316,1,72,80,34,1
CR_93485,14-Aug-03,0,24,24,0,0,4,2,1,5,1,174,0,92,93,46,1
CR_166946,3-Feb-14,0,3,2,3,5,1,0,1,6,1,316,1,109,62,34,1
CR_23846,6-Sep-94,0,45,45,10,3,2,7,1,6,1,316,1,112,119,34,1
CR_35143,17-Aug-96,0,16,15,0,0,6,4,1,5,1,249,1,103,29,34,1
CR_132712,15-Oct-08,0,36,34,2,1,1,0,1,2,1,316,1,92,142,34,1
CR_108422,21-Mar-05,0,24,24,0,0,5,6,1,6,1,249,1,72,29,34,1
CR_12091,15-Nov-93,0,9,10,7,3,6,4,5,6,2,316,2,72,62,34,1
CR_625,7-Jun-91,0,21,23,4,1,5,6,1,6,2,179,1,92,142,34,0
CR_159884,21-Sep-12,0,44,44,1,3,4,2,1,6,1,299,1,92,80,34,1
CR_71220,13-Oct-00,1,44,44,1,3,16,12,1,5,1,174,0,112,29,23,1
CR_51361,17-Sep-98,0,15,14,3,5,7,1,1,6,1,316,1,112,93,34,1
CR_154424,6-Feb-12,0,3,2,3,5,4,2,1,6,3,0,3,98,80,34,1
CR_63566,15-Jul-99,0,45,45,10,3,6,4,0,5,1,174,1,103,29,34,1
CR_178864,7-Jun-16,0,4,4,6,5,1,0,1,5,1,249,1,72,142,34,1
CR_130028,22-Mar-08,0,21,23,4,1,2,7,1,5,1,249,1,103,142,34,1
CR_155157,2-May-12,0,4,4,6,5,3,5,3,6,1,316,1,72,29,34,1
CR_59246,16-Jun-99,1,9,10,7,3,15,10,1,2,1,0,1,72,107,34,1
CR_119761,21-Mar-07,7,3,2,3,5,9,8,0,5,1,174,0,112,119,43,1
CR_149812,15-Jul-11,0,7,8,7,3,2,7,1,2,1,316,1,72,62,34,1
CR_182348,12-Aug-16,0,36,34,2,1,1,0,1,5,1,174,0,103,87,43,1
CR_88610,27-Apr-02,0,45,45,10,3,6,4,1,6,1,316,1,103,29,34,1
CR_139432,18-Jul-09,0,36,34,2,1,3,5,1,2,1,316,1,92,142,34,1
CR_95167,6-Nov-03,1,36,34,2,1,15,10,0,5,1,174,0,92,29,43,1
CR_150138,20-Jul-11,0,17,16,0,0,5,6,1,6,2,0,2,54,62,34,1
CR_186311,22-Nov-17,0,9,10,7,3,2,7,2,5,1,174,,10,80,0,1
CR_103931,11-Jan-04,0,46,46,3,5,6,4,0,5,1,328,0,98,142,34,1
CR_46579,11-Aug-97,1,36,34,2,1,15,10,1,6,1,249,1,92,29,34,1
CR_175052,12-Aug-15,0,24,24,0,0,4,2,1,2,1,174,0,111,115,43,1
CR_100746,30-Jul-04,0,24,24,0,0,6,4,0,5,1,316,0,72,142,34,1
CR_119034,5-Dec-06,7,47,48,7,3,9,8,0,5,1,174,0,112,29,23,1
CR_152525,1-Feb-11,0,36,34,2,1,1,0,0,5,1,127,1,103,62,36,0
CR_38457,18-Mar-96,1,36,34,2,1,15,10,1,6,1,174,0,18,133,46,1
CR_42330,26-Jul-97,0,4,4,6,5,1,0,1,6,1,316,1,103,62,34,1
CR_161508,29-Jan-13,7,4,4,6,5,9,8,0,5,1,174,0,110,93,46,1
CR_126844,10-Aug-07,0,49,49,6,5,7,1,0,5,3,249,3,103,29,34,1
CR_180349,14-Nov-16,0,19,19,1,3,6,4,0,5,2,174,2,103,62,34,1
CR_58558,1-Nov-99,0,4,4,6,5,2,7,3,6,2,174,2,98,62,34,1
CR_171484,11-Sep-14,1,44,44,1,3,11,17,1,6,1,249,1,103,29,34,1
CR_152281,12-May-11,0,33,32,2,1,7,1,1,6,1,249,1,113,87,34,1
CR_13308,4-Apr-93,0,21,23,4,1,7,1,1,6,1,174,1,92,93,34,1
CR_59413,3-Sep-99,0,15,14,3,5,4,2,0,5,1,174,1,72,62,34,1
CR_501,15-Aug-91,0,16,15,0,0,1,0,3,6,1,0,1,72,29,34,1
CR_24767,25-Nov-95,1,4,4,6,5,15,10,0,5,1,174,1,103,142,34,1
CR_126708,25-Aug-07,0,47,48,7,3,4,2,0,5,1,174,0,18,93,46,1
CR_106708,14-Aug-05,1,9,10,7,3,15,10,3,6,2,0,2,72,107,34,1
CR_105347,18-Nov-05,0,4,4,6,5,1,0,1,6,1,316,1,72,103,34,1
CR_8801,9-Oct-92,0,36,34,2,1,1,0,0,2,2,316,2,92,142,34,1
CR_91118,24-Aug-03,0,4,4,6,5,2,7,1,6,1,249,1,103,93,34,1
CR_136622,6-Jul-09,0,6,6,4,1,5,6,0,5,1,174,0,54,29,23,1
CR_103209,25-May-04,0,39,39,6,5,2,7,2,6,1,303,1,72,130,34,1
CR_197509,26-Mar-18,0,45,45,10,3,8,3,0,5,1,225,1,40,130,34,1
CR_39711,20-Jun-96,0,39,39,6,5,3,5,1,2,1,249,1,24,142,34,1
CR_13597,2-Jan-93,1,22,22,7,3,15,10,0,5,1,174,1,72,93,34,1
CR_103345,21-Sep-04,0,40,40,2,1,3,5,1,6,1,249,1,72,29,34,1
CR_99583,28-Jan-04,1,18,18,9,0,12,16,0,5,1,328,0,92,142,0,1
CR_176133,26-Jul-15,1,36,34,2,1,15,10,1,6,1,316,1,92,80,34,1
CR_180573,2-Dec-16,0,21,23,4,1,4,2,0,5,1,174,0,111,93,43,1
CR_42943,15-Mar-97,7,4,4,6,5,9,8,0,5,1,174,0,112,62,48,1
CR_112911,30-Jul-06,0,4,4,6,5,6,4,0,5,1,174,1,103,29,34,1
CR_70057,22-Apr-00,0,36,34,2,1,1,0,0,5,1,174,0,103,93,43,1
CR_193828,19-Feb-18,0,17,16,0,0,2,7,1,2,1,0,1,103,62,34,1
CR_74327,24-Dec-01,0,4,4,6,5,3,5,1,6,1,0,1,72,103,34,1
CR_189730,7-Oct-17,5,36,34,2,1,18,13,1,5,1,127,,103,87,43,1
CR_48956,8-Feb-98,0,3,2,3,5,1,0,0,5,1,174,1,103,103,34,1
CR_186444,27-Jul-17,1,15,14,3,5,16,12,0,5,1,174,1,98,87,34,1
CR_125324,30-Jul-07,0,37,37,0,0,7,1,2,6,1,249,1,92,29,34,1
CR_51607,28-Sep-98,0,16,15,0,0,1,0,2,2,1,0,1,72,62,34,1
CR_71828,5-Aug-00,0,47,48,7,3,8,3,1,6,1,330,0,113,29,48,1
CR_68729,31-Oct-00,0,24,24,0,0,7,1,1,5,1,174,1,72,142,34,1
CR_65899,19-Jul-00,0,4,4,6,5,6,4,0,5,1,174,0,18,138,46,1
CR_116886,19-Jan-06,0,33,32,2,1,5,6,0,5,1,127,0,103,93,43,1
CR_64513,20-Apr-00,0,3,2,3,5,1,0,3,1,5,0,5,92,80,34,1
CR_184512,10-Aug-17,0,3,2,3,5,3,5,2,6,1,0,1,98,29,34,1
CR_32248,26-Sep-96,0,3,2,3,5,1,0,0,5,1,249,1,24,14,34,1
CR_18394,15-Feb-93,0,49,49,6,5,2,7,1,6,1,249,1,72,14,34,1
CR_105114,19-Mar-05,0,4,4,6,5,6,4,2,6,1,303,1,98,29,34,1
CR_58935,9-Dec-99,0,6,6,4,1,5,6,1,6,1,249,1,72,29,34,1
CR_79987,12-Apr-01,0,37,37,0,0,3,5,1,6,1,249,0,72,29,34,1
CR_82898,2-Nov-02,0,4,4,6,5,1,0,1,5,1,316,1,67,130,34,1
CR_32484,4-Jan-96,0,4,4,6,5,4,2,1,6,1,249,1,103,29,34,1
CR_192251,5-Sep-18,0,4,4,6,5,1,0,1,5,1,316,1,72,62,34,1
CR_189877,1-Mar-17,0,37,37,0,0,5,6,0,5,1,174,0,18,93,0,1
CR_54015,4-Jun-98,0,33,32,2,1,5,6,0,5,1,249,1,103,93,34,1
CR_94030,2-Apr-03,0,33,32,2,1,6,4,1,6,1,316,1,103,29,34,1
CR_39911,20-Jan-96,0,40,40,2,1,3,5,1,6,1,0,1,72,138,34,1
CR_187421,11-Mar-17,0,21,23,4,1,2,7,1,6,1,249,1,103,29,34,1
CR_149133,12-Sep-11,1,4,4,6,5,15,10,0,5,1,174,0,18,133,46,1
CR_119907,9-Feb-07,1,4,4,6,5,11,17,1,6,2,179,1,103,62,34,0
CR_69349,21-Jan-00,0,33,32,2,1,6,4,0,5,1,127,0,103,93,43,1
